item_id,survey_id,category,factor_or_cluster,jtbd_hypothesis,evidence,confidence,reuse_scope
fj_0d1ec2069aa4,tally_w5k75d,auto/mobility,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_65298b3ec925,tally_w5k75d,auto/mobility,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_87904454fd36,tally_3Ex5xX,HR/EVP,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,EVP Employer
fj_7f9605908acb,tally_mZ6Rp0,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,EVP Employer
fj_6c7a1b3949d8,tally_mZ6Rp0,HR/EVP,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,EVP Employer
fj_96b94e170258,tally_mZ6Rp0,HR/EVP,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,EVP Employer
fj_a23768084df6,tally_mO05EK,auto/mobility,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_18b6d4448385,tally_mYWglz,food/FMCG,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_cff0870c9289,tally_mYWglz,food/FMCG,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_e5484755fb50,tally_wdAOjN,food/FMCG,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_468f9f759d3b,tally_wdAOjN,food/FMCG,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_419aa44ba6f6,tally_mKLDog,home/electronics,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
