issue_id,survey_id,question_id,issue_type,severity,description,action
ri_3b8721c66c70,tally_w5k75d,q_3b8721c66c70,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_015daf837b23,tally_w5k75d,q_015daf837b23,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_aac4ed35274e,tally_w5k75d,q_aac4ed35274e,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_93dd93417e44,tally_w5k75d,q_93dd93417e44,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_1ddf1432a3c5,tally_w5k75d,q_1ddf1432a3c5,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_ae8df903d585,tally_w5k75d,q_ae8df903d585,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_5a3655e475d8,tally_w5k75d,q_5a3655e475d8,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_f86e2ebd26e0,tally_w5k75d,q_f86e2ebd26e0,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_7262e094022a,tally_w5k75d,q_7262e094022a,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_26a60ecd8461,tally_w5k75d,q_26a60ecd8461,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_4adf74bcbc8c,tally_w5k75d,q_4adf74bcbc8c,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_22954ae88148,tally_w5k75d,q_22954ae88148,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_603efc0dff71,tally_mZ6Rp0,q_603efc0dff71,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_aff8731eac7c,tally_mO05EK,q_aff8731eac7c,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_bf9ccb30086d,tally_mO05EK,q_bf9ccb30086d,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_1deaccb3de6b,tally_mO05EK,q_1deaccb3de6b,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_b03efceff03d,tally_mO05EK,q_b03efceff03d,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_8d3e45750775,tally_mO05EK,q_8d3e45750775,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_b76e22828e87,tally_mO05EK,q_b76e22828e87,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_0aaa2d796190,tally_mO05EK,q_0aaa2d796190,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_d5ab2d92b7c5,tally_mO05EK,q_d5ab2d92b7c5,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_f8848d73ed96,tally_mO05EK,q_f8848d73ed96,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_a7404a34570a,tally_mO05EK,q_a7404a34570a,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_2977adaa29e8,tally_mO05EK,q_2977adaa29e8,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_d5d598fae618,tally_mO05EK,q_d5d598fae618,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_9dcb38984481,tally_mO05EK,q_9dcb38984481,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_98775bbb5c8b,tally_mO05EK,q_98775bbb5c8b,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_d8913629694e,tally_mO05EK,q_d8913629694e,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_ea531f27baa8,tally_mO05EK,q_ea531f27baa8,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_bb5aab810b94,tally_mO05EK,q_bb5aab810b94,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_09a17aa09c68,tally_mO05EK,q_09a17aa09c68,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_47a55d6bced7,tally_mO05EK,q_47a55d6bced7,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_d83124bad913,tally_mO05EK,q_d83124bad913,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_7e7a1799d618,tally_mO05EK,q_7e7a1799d618,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_72d0276bdc5a,tally_mO05EK,q_72d0276bdc5a,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_827de30bafb8,tally_mO05EK,q_827de30bafb8,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_8fecc6353ead,tally_mO05EK,q_8fecc6353ead,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_e6aef18fefed,tally_mO05EK,q_e6aef18fefed,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_a0fb8884c223,tally_mYWglz,q_a0fb8884c223,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_bc23268b4075,tally_mYWglz,q_bc23268b4075,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_8d109a24121f,tally_mYWglz,q_8d109a24121f,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_793fcfd197cc,tally_mYWglz,q_793fcfd197cc,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_efc0577534df,tally_mYWglz,q_efc0577534df,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_0697df6b7ed0,tally_mYWglz,q_0697df6b7ed0,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_1865b2dd26d9,tally_mYWglz,q_1865b2dd26d9,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_44f7fc21a720,tally_mYWglz,q_44f7fc21a720,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_a9146e93882f,tally_mYWglz,q_a9146e93882f,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_8ec863b76a88,tally_mYWglz,q_8ec863b76a88,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_dce16b1df576,tally_mYWglz,q_dce16b1df576,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_379aa2a79935,tally_mYWglz,q_379aa2a79935,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_25ca5921ea64,tally_mYWglz,q_25ca5921ea64,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_845070fee76d,tally_mYWglz,q_845070fee76d,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_54d4f8477e50,tally_mYWglz,q_54d4f8477e50,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_6a09fb10b03d,tally_mYWglz,q_6a09fb10b03d,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_afaf9ed9ac38,tally_mYWglz,q_afaf9ed9ac38,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_efb1c7453933,tally_wdAOjN,q_efb1c7453933,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_9a486ccf5ad2,tally_wdAOjN,q_9a486ccf5ad2,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_06f585f6d017,tally_wdAOjN,q_06f585f6d017,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_9fd06982cb8d,tally_mKLDog,q_9fd06982cb8d,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_3ee355a3c1b6,tally_mKLDog,q_3ee355a3c1b6,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_34134bfb27d8,tally_mKLDog,q_34134bfb27d8,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_520ee2ba3be2,tally_wg9kZl,q_520ee2ba3be2,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_1a461d2a9bca,tally_wg9kZl,q_1a461d2a9bca,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_7dbaaaa93913,tally_wg9kZl,q_7dbaaaa93913,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_5fc067e38687,tally_wg9kZl,q_5fc067e38687,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_5ad7a5679083,tally_wg9kZl,q_5ad7a5679083,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_6ec283ce0c58,tally_wg9kZl,q_6ec283ce0c58,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_dc1ef4c8fb7d,tally_wg9kZl,q_dc1ef4c8fb7d,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_3291cbda7ab0,tally_wg9kZl,q_3291cbda7ab0,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_f11e7bd88982,tally_wg9kZl,q_f11e7bd88982,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_ced4234a2836,tally_wg9kZl,q_ced4234a2836,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_3d449cb5ac25,tally_wg9kZl,q_3d449cb5ac25,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_949c5a69c32b,tally_wg9kZl,q_949c5a69c32b,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_f9d5beda506f,tally_wg9kZl,q_f9d5beda506f,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_6628f678265f,tally_wg9kZl,q_6628f678265f,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_cb6869aec100,tally_wg9kZl,q_cb6869aec100,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_72e61113564a,tally_wg9kZl,q_72e61113564a,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_3a4ac32e47fc,tally_wg9kZl,q_3a4ac32e47fc,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_8da320c8af67,tally_wg9kZl,q_8da320c8af67,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_edf75ac1ea09,tally_wg9kZl,q_edf75ac1ea09,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_98c216fee153,tally_mRPA74,q_98c216fee153,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_8c9ae4d51bb2,tally_mRPA74,q_8c9ae4d51bb2,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_d7cfe72a3fe8,tally_mRPA74,q_d7cfe72a3fe8,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_758c08676c18,tally_mRPA74,q_758c08676c18,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_7a419538b0bd,tally_mRPA74,q_7a419538b0bd,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_6b84a5a7b1e3,tally_mRPA74,q_6b84a5a7b1e3,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_a5d3611d7067,tally_mRPA74,q_a5d3611d7067,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_ce7b8ef5c1a1,tally_wM5zyg,q_ce7b8ef5c1a1,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_cc86ceaeb37f,tally_wM5zyg,q_cc86ceaeb37f,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_f97e1524d873,tally_wM5zyg,q_f97e1524d873,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_69c24937280e,tally_wM5zyg,q_69c24937280e,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
