survey_id,project,survey_type,category,geography,field_date,sample_n,question_count,platform,primary_raw_file_id,raw_file,recovery_status,reuse_value,families,answer_types,notes
tally_w5k75d,Ваш опыт использования электрозарядных станций_ Опрос владельцев электромобилей,B2C Choice,auto/mobility,,,249,31,Tally,raw_0001,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Ваш опыт использования электрозарядных станций_ Опрос владельцев электромобилей [w5k75d].csv,unreliable,high,other:15;demographics:7;open:3;factor:2;screening:1;scenario:1;channel:1;WTP:1,single:13;multi:10;numeric:3;unknown:3;matrix:1;open:1,
tally_3Ex5xX,Исследование работодателей рынка недвижимости,EVP Employer,HR/EVP,,,413,93,Tally,raw_0002,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Исследование работодателей рынка недвижимости [3Ex5xX].csv,verified,high,other:72;demographics:9;trust:3;switching:3;channel:2;WTP:2;scenario:2,numeric:78;single:11;open:3;multi:1,
tally_mZ6Rp0,Внешняя анкета - факторы выбора работодателя,EVP Employer,HR/EVP,,,500,22,Tally,raw_0003,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Внешняя анкета - факторы выбора работодателя [mZ6Rp0].csv,partly_reconstructed,high,factor:9;demographics:6;barrier:2;other:1;open:1;scenario:1;awareness:1;consideration:1,multi:9;single:8;open:4;matrix:1,duplicate_raw:raw_0092
tally_mO05EK,Опрос про автомобили (Тамбов),B2C Choice,auto/mobility,,,420,57,Tally,raw_0004,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Опрос про автомобили (Тамбов) [mO05EK].csv,unreliable,high,other:33;demographics:9;factor:5;WTP:3;behavior:3;awareness:2;open:2,single:44;multi:6;matrix:5;open:2,
tally_mYWglz,Анкета клиентов Печорин,B2C Choice,food/FMCG,,,232,43,Tally,raw_0005,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Анкета клиентов Печорин [mYWglz].csv,partly_reconstructed,high,other:18;channel:4;frequency:4;factor:4;demographics:4;scenario:3;awareness:3;WTP:2;behavior:1,single:13;open:12;matrix:11;multi:6;numeric:1,
tally_wdAOjN,ФФ. Анкета количественного исследования.,B2C Choice,food/FMCG,,,253,35,Tally,raw_0006,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/ФФ. Анкета количественного исследования. [wdAOjN].csv,partly_reconstructed,high,channel:12;demographics:7;other:6;barrier:3;screening:2;factor:2;frequency:1;WTP:1;behavior:1,open:15;single:11;multi:6;numeric:2;matrix:1,
tally_mKLDog,Анкета о предпочтениях в выборе ПК_услуг_периферии,B2C Choice,home/electronics,,,200,57,Tally,raw_0007,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Анкета о предпочтениях в выборе ПК_услуг_периферии [mKLDog].csv,partly_reconstructed,high,other:23;demographics:10;open:8;barrier:8;channel:3;factor:2;behavior:1;scenario:1;trust:1,single:35;multi:8;open:8;unknown:3;matrix:2;numeric:1,
tally_wg9kZl,Анкета для количественного исследования РусАгроПром,B2C Choice,food/FMCG,,,762,79,Tally,raw_0008,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Анкета для количественного исследования РусАгроПром [wg9kZl].csv,partly_reconstructed,high,other:27;demographics:9;behavior:8;WTP:7;channel:7;awareness:7;barrier:3;scenario:3;trust:2;frequency:2;open:2;screening:1;factor:1,single:34;open:29;multi:14;matrix:1;numeric:1,duplicate_raw:raw_0093
tally_mRPA74,Анкета для опроса _Альтмед+_,B2C Choice,healthcare,,,301,46,Tally,raw_0009,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Анкета для опроса _Альтмед+_ [mRPA74].csv,partly_reconstructed,high,demographics:16;behavior:8;other:6;factor:5;frequency:4;scenario:3;barrier:2;WTP:2,open:17;multi:14;single:9;matrix:6,
tally_wvPDzA,ЭТАЖИ. Внутренний опрос.,Internal Employee,HR/EVP,,,315,90,Tally,raw_0010,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/ЭТАЖИ. Внутренний опрос. [wvPDzA].csv,verified,high,other:69;demographics:9;trust:3;switching:3;channel:2;WTP:2;scenario:2,numeric:76;single:9;open:3;multi:1;unknown:1,
tally_wM5zyg,Опрос про автомобили (Ставрополь),B2C Choice,auto/mobility,,,409,65,Tally,raw_0011,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Опрос про автомобили (Ставрополь) [wM5zyg].csv,unreliable,high,other:44;demographics:8;WTP:3;factor:3;behavior:3;awareness:2;open:2,single:31;unknown:18;multi:9;matrix:5;numeric:1;open:1,
tally_3yy174,Сибагро. Опрос внутренний,Internal Employee,HR/EVP,,,1224,8,Tally,raw_0012,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Сибагро. Опрос внутренний [3yy174].csv,partly_reconstructed,high,demographics:5;other:2;factor:1,single:6;open:1;matrix:1,duplicate_raw:raw_0090
tally_wzZb98,Анкета для опроса клиентов магазинов бытовой техники (Регионы),B2C Choice,home/electronics,,,329,43,Tally,raw_0013,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Анкета для опроса клиентов магазинов бытовой техники (Регионы) [wzZb98].csv,unreliable,high,other:19;channel:11;demographics:6;factor:2;barrier:1;frequency:1;screening:1;trust:1;WTP:1,single:21;matrix:10;open:4;multi:4;numeric:2;unknown:2,
tally_3NXzGp,Потребительские предпочтения в выборе сыров (офлайн) FINAL,B2C Choice,food/FMCG,,,445,50,Tally,raw_0014,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Потребительские предпочтения в выборе сыров (офлайн) FINAL [3NXzGp].csv,partly_reconstructed,high,other:9;demographics:8;channel:6;behavior:5;scenario:5;awareness:5;WTP:3;factor:3;barrier:2;trust:2;frequency:2,single:27;open:13;unknown:5;multi:3;matrix:2,
tally_3E0QYq,Опрос про автомобили (Липецк),B2C Choice,auto/mobility,,,418,56,Tally,raw_0015,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Опрос про автомобили (Липецк) [3E0QYq].csv,unreliable,high,other:33;demographics:9;factor:5;WTP:3;behavior:3;awareness:2;open:1,single:38;multi:8;matrix:5;unknown:3;numeric:1;open:1,
tally_3y2jV8,DMC анкета опросов (6),B2C Choice,healthcare,,,404,43,Tally,raw_0016,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/DMC анкета опросов (6) [3y2jV8].csv,partly_reconstructed,high,other:13;demographics:12;behavior:7;scenario:4;frequency:2;factor:2;barrier:1;awareness:1;screening:1,single:26;open:10;numeric:2;unknown:2;matrix:2;multi:1,
tally_3XWL74,Главстрой Санкт-Петербург. Внутренний опрос.,Internal Employee,HR/EVP,,,393,37,Tally,raw_0017,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Главстрой Санкт-Петербург. Внутренний опрос. [3XWL74].csv,partly_reconstructed,high,demographics:8;factor:8;WTP:8;other:7;open:5;scenario:1,single:18;matrix:15;multi:2;open:1;numeric:1,
tally_me60Nl,Русский продукт. Магадан - Количественное исследование,B2C Choice,food/FMCG,,,405,53,Tally,raw_0018,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Русский продукт. Магадан - Количественное исследование [me60Nl].csv,unreliable,high,other:29;channel:12;demographics:8;barrier:2;open:1;frequency:1,multi:22;single:14;open:8;matrix:7;numeric:1;unknown:1,
tally_w2Go1L,Кинекст,B2C Choice,fitness/wellness,,,380,37,Tally,raw_0019,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Кинекст [w2Go1L].csv,partly_reconstructed,high,other:13;demographics:8;channel:4;behavior:3;factor:2;frequency:2;awareness:2;screening:1;open:1;scenario:1,multi:22;single:11;open:3;matrix:1,
tally_31dpWg,Опрос-исследование опыта использования программ лояльности,B2C Choice,loyalty,,,438,28,Tally,raw_0020,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Опрос-исследование опыта использования программ лояльности [31dpWg].csv,partly_reconstructed,high,other:14;demographics:7;factor:3;channel:1;open:1;trust:1;WTP:1,single:9;multi:7;open:6;matrix:5;unknown:1,
tally_3xMKXJ,Количественное исследование для DFC,B2C Choice,healthcare,,,330,34,Tally,raw_0021,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Количественное исследование для DFC [3xMKXJ].csv,unreliable,high,other:16;demographics:11;behavior:4;awareness:1;scenario:1;factor:1,open:12;single:12;multi:5;matrix:3;numeric:1;unknown:1,
tally_wgoNMD,Кинекст (Палумяэ),B2C Choice,fitness/wellness,,,309,37,Tally,raw_0022,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Кинекст (Палумяэ) [wgoNMD].csv,partly_reconstructed,high,other:14;demographics:8;channel:4;behavior:3;factor:2;frequency:2;awareness:2;screening:1;scenario:1,multi:22;single:11;open:2;numeric:1;matrix:1,
tally_w46pbO,Анкета онлайн опроса для клиентов Восточки,B2C Choice,food/FMCG,,,204,40,Tally,raw_0023,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Анкета онлайн опроса для клиентов Восточки [w46pbO].csv,partly_reconstructed,high,other:17;WTP:6;scenario:4;demographics:4;factor:3;barrier:2;awareness:1;frequency:1;switching:1;open:1,single:17;multi:15;open:4;numeric:2;matrix:2,
tally_nrxkLp,Опрос потребителей о привычках и выборе товаров для здоровья и домашнего использ,B2C Choice,food/FMCG,,,268,39,Tally,raw_0024,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Опрос потребителей о привычках и выборе товаров для здоровья и домашнего использ [nrxkLp].csv,partly_reconstructed,high,other:11;demographics:9;channel:7;behavior:3;awareness:3;frequency:2;factor:2;scenario:1;trust:1,single:21;multi:13;matrix:3;open:2,
tally_mOXMkY,Исследование рынка косметологических услуг в г. Самара,B2C Choice,healthcare,,,201,41,Tally,raw_0025,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Исследование рынка косметологических услуг в г. Самара [mOXMkY].csv,partly_reconstructed,high,other:16;demographics:14;factor:3;scenario:2;barrier:2;behavior:1;frequency:1;WTP:1;awareness:1,single:14;open:9;unknown:7;numeric:5;matrix:5;multi:1,
tally_nrOG9R,Исследование потребительских особенностей в медицинских услугах,B2C Choice,healthcare,,,240,31,Tally,raw_0026,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Исследование потребительских особенностей в медицинских услугах [nrOG9R].csv,partly_reconstructed,high,other:12;demographics:11;behavior:4;frequency:1;WTP:1;awareness:1;scenario:1,single:12;open:11;multi:4;matrix:3;unknown:1,
