pattern_id,survey_id,input_signal,slide_type,example_title,reuse_condition
sp_c9590b0d4d87,tally_w5k75d,factor,factor hierarchy,factor hierarchy: 4) Какие факторы повлияли на ваш выбор места проживания с учетом наличия электро,Use for B2C Choice / auto/mobility when factor is decision-relevant.
sp_cc83e9e74242,tally_w5k75d,scenario,JTBD map,JTBD map: 5) Есть ли такие ситуации в процессе или перед которыми  вы считаете важными зар,Use for B2C Choice / auto/mobility when scenario is decision-relevant.
sp_6410aef94070,tally_w5k75d,channel,channel/trust map,channel/trust map: 6) Где бы вы хотели чтобы в этот момент находилась зарядка?,Use for B2C Choice / auto/mobility when channel is decision-relevant.
sp_24763c86565e,tally_w5k75d,factor,factor hierarchy,"factor hierarchy: 7) Оцените факторы выбора зарядных устройств из списка ниже от 1 до 5, где 1 - н",Use for B2C Choice / auto/mobility when factor is decision-relevant.
sp_35b4f18f42b0,tally_w5k75d,WTP,price ladder,price ladder: 12) Как вы оцениваете стоимость электроэнергии для зарядки автомобиля дома?,Use for B2C Choice / auto/mobility when WTP is decision-relevant.
sp_c761bf08bcaf,tally_3Ex5xX,channel,channel/trust map,channel/trust map: Укажите эти каналы,Use for EVP Employer / HR/EVP when channel is decision-relevant.
sp_5b19ff86d464,tally_3Ex5xX,WTP,price ladder,price ladder: Реализация высокобюджетных проектов,Use for EVP Employer / HR/EVP when WTP is decision-relevant.
sp_10fc1b01898c,tally_3Ex5xX,channel,channel/trust map,channel/trust map: Наличие внутренних каналов коммуникации,Use for EVP Employer / HR/EVP when channel is decision-relevant.
sp_9fbb34915efb,tally_3Ex5xX,WTP,price ladder,price ladder: 2. существует ясная стратегия развития,Use for EVP Employer / HR/EVP when WTP is decision-relevant.
sp_27a4be714b46,tally_3Ex5xX,scenario,JTBD map,JTBD map: 2. есть понимание конкурентной ситуации,Use for EVP Employer / HR/EVP when scenario is decision-relevant.
sp_be3c314fed6e,tally_3Ex5xX,trust,QFD,"QFD: 2. консультативный стиль управления (даются не указания, а рекомендации)",Use for EVP Employer / HR/EVP when trust is decision-relevant.
sp_bc55bf593969,tally_3Ex5xX,switching,barrier map,"barrier map: 3. налажен обмен знаниями (о методах продаж, о конкурентах, о новинках продукции",Use for EVP Employer / HR/EVP when switching is decision-relevant.
sp_20dc8d1c3aec,tally_3Ex5xX,switching,barrier map,barrier map: 4. внедряются идеи из внешней среды (перенимаем лучшие практики конкурентов),Use for EVP Employer / HR/EVP when switching is decision-relevant.
sp_8ecbe9cf7d35,tally_3Ex5xX,trust,QFD,QFD: 1. практикуется открытость и доверие,Use for EVP Employer / HR/EVP when trust is decision-relevant.
sp_51571f1af47e,tally_3Ex5xX,switching,barrier map,barrier map: 2. есть внутренняя соревновательность (внутренняя конкуренция),Use for EVP Employer / HR/EVP when switching is decision-relevant.
sp_6147dff5ea78,tally_3Ex5xX,scenario,JTBD map,"JTBD map: В компании решения принимаются всегда по всем известным, общепринятым правилам И",Use for EVP Employer / HR/EVP when scenario is decision-relevant.
sp_1d372d71dcc4,tally_3Ex5xX,trust,QFD,"QFD: Репутация (Лидерство, стабильность, финансовая безопасность",Use for EVP Employer / HR/EVP when trust is decision-relevant.
sp_9d66a76b62e9,tally_mZ6Rp0,barrier,barrier map,barrier map: 2. По каким причинам Вы выбрали эту сферу для карьеры?,Use for EVP Employer / HR/EVP when barrier is decision-relevant.
sp_71df22179da9,tally_mZ6Rp0,factor,factor hierarchy,"factor hierarchy: 6. Оцените от 1 до 5, насколько важны для Вас следующие факторы при выбора работ",Use for EVP Employer / HR/EVP when factor is decision-relevant.
sp_10e386694208,tally_mZ6Rp0,scenario,JTBD map,JTBD map: 7. Какие компании Вы когда-нибудь рассматривали (рассматриваете сейчас) в качест,Use for EVP Employer / HR/EVP when scenario is decision-relevant.
sp_8f3263d942e3,tally_mZ6Rp0,awareness,brand funnel,brand funnel: 8. Слышали ли Вы о компании «Главстрой»?,Use for EVP Employer / HR/EVP when awareness is decision-relevant.
sp_b5028cf5f451,tally_mZ6Rp0,consideration,brand funnel,brand funnel: 9. Рассматриваете ли Вы «Главстрой» в качестве потенциального работодателя?,Use for EVP Employer / HR/EVP when consideration is decision-relevant.
sp_737f1d9c09f9,tally_mZ6Rp0,barrier,barrier map,barrier map: 9.1 Почему не рассматриваете?,Use for EVP Employer / HR/EVP when barrier is decision-relevant.
sp_bf43ca36f346,tally_mZ6Rp0,factor,factor hierarchy,"factor hierarchy: 13. Оцените, в какой из перечисленных компаний представлены следующие возможност",Use for EVP Employer / HR/EVP when factor is decision-relevant.
sp_afab83d4d0ad,tally_mZ6Rp0,factor,factor hierarchy,"factor hierarchy: 14. Оцените, в какой из перечисленных компаний представлены следующие ценности: ",Use for EVP Employer / HR/EVP when factor is decision-relevant.
sp_5344c2934607,tally_mZ6Rp0,factor,factor hierarchy,"factor hierarchy: 15. Оцените, в какой из перечисленных компаний представлены следующие ценности: ",Use for EVP Employer / HR/EVP when factor is decision-relevant.
sp_d3df0f1a7cd8,tally_mZ6Rp0,factor,factor hierarchy,"factor hierarchy: 16. Оцените, в какой из перечисленных компаний представлены следующие ценности: ",Use for EVP Employer / HR/EVP when factor is decision-relevant.
sp_fd9cd15c865d,tally_mZ6Rp0,factor,factor hierarchy,"factor hierarchy: 17. Оцените, в какой из перечисленных компаний представлены следующие ценности: ",Use for EVP Employer / HR/EVP when factor is decision-relevant.
sp_0770aebc889a,tally_mZ6Rp0,factor,factor hierarchy,"factor hierarchy: 18. Оцените, в какой из перечисленных компаний представлены следующие ценности: ",Use for EVP Employer / HR/EVP when factor is decision-relevant.
sp_f5de3061f0b2,tally_mZ6Rp0,factor,factor hierarchy,"factor hierarchy: 19. Оцените, в какой из перечисленных компаний представлены следующие ценности: ",Use for EVP Employer / HR/EVP when factor is decision-relevant.
sp_2ada756bc70a,tally_mZ6Rp0,factor,factor hierarchy,"factor hierarchy: 20. Оцените, в какой из перечисленных компаний представлены следующие ценности: ",Use for EVP Employer / HR/EVP when factor is decision-relevant.
sp_eb35add5d0cd,tally_mO05EK,WTP,price ladder,"price ladder: 7. Укажите стоимость последней покупки авто  Если не покупали, то на какой ценов",Use for B2C Choice / auto/mobility when WTP is decision-relevant.
sp_08baa6cc0cc9,tally_mO05EK,awareness,brand funnel,brand funnel: 8. Какие автосервисы Вы знаете?,Use for B2C Choice / auto/mobility when awareness is decision-relevant.
sp_b3b26db2bf34,tally_mO05EK,WTP,price ladder,"price ladder: 12. Какой автосервис, на Ваш взгляд, с самыми доступными ценами?",Use for B2C Choice / auto/mobility when WTP is decision-relevant.
sp_5bf98acdf532,tally_mO05EK,factor,factor hierarchy,"factor hierarchy: 18. Оцените от 1 до 5 важность факторов при выборе автосервиса, где 1 - незначим",Use for B2C Choice / auto/mobility when factor is decision-relevant.
sp_4959d8ca6e9d,tally_mO05EK,factor,factor hierarchy,"factor hierarchy: 19. Оцените важность следующих пунктов в автосервисе, в котором Вы решили диагно",Use for B2C Choice / auto/mobility when factor is decision-relevant.
sp_4ec8fabb8561,tally_mO05EK,factor,factor hierarchy,"factor hierarchy: 20. Оцените важность пунктов в мобильном приложении автосервиса, в котором Вы ре",Use for B2C Choice / auto/mobility when factor is decision-relevant.
sp_fbcbcdef408e,tally_mO05EK,behavior,behavior baseline,behavior baseline: 21. Как давно Вы покупали б/у автомобиль?,Use for B2C Choice / auto/mobility when behavior is decision-relevant.
sp_d7fe906366a8,tally_mO05EK,awareness,brand funnel,brand funnel: 22. Каких дилеров Вы знаете?,Use for B2C Choice / auto/mobility when awareness is decision-relevant.
sp_6d3989d8fcf2,tally_mO05EK,behavior,behavior baseline,behavior baseline: 22. У каких дилеров Вы покупали/купили бы авто?,Use for B2C Choice / auto/mobility when behavior is decision-relevant.
sp_b1c7c8d0e0c8,tally_mO05EK,behavior,behavior baseline,"behavior baseline: 24. У каких дилеров Вы покупали/планировали купить авто, но решили, что не будет",Use for B2C Choice / auto/mobility when behavior is decision-relevant.
sp_6613560d6409,tally_mO05EK,WTP,price ladder,"price ladder: 25. Какой дилер, на Ваш взгляд, с самыми доступными ценами?",Use for B2C Choice / auto/mobility when WTP is decision-relevant.
sp_70840086772d,tally_mO05EK,factor,factor hierarchy,"factor hierarchy: 31. Оцените от 1 до 5 важность факторов в дилере при покупке авто, где 1 - незна",Use for B2C Choice / auto/mobility when factor is decision-relevant.
sp_f797c4816c68,tally_mO05EK,factor,factor hierarchy,"factor hierarchy: 32. Оцените важность следующих пунктов в дилере, в котором Вы решили покупать ав",Use for B2C Choice / auto/mobility when factor is decision-relevant.
sp_26cdadb89260,tally_mYWglz,channel,channel/trust map,channel/trust map: 1. Где вы чаще всего покупаете хлеб?,Use for B2C Choice / food/FMCG when channel is decision-relevant.
sp_2dcd720cb8ac,tally_mYWglz,frequency,behavior baseline,behavior baseline: 2. Как часто вы покупаете хлеб в пекарне при следующих сценариях?,Use for B2C Choice / food/FMCG when frequency is decision-relevant.
sp_9a0613405ff4,tally_mYWglz,WTP,price ladder,price ladder: 3. Сколько вы готовы потратить на покупку хлеба?,Use for B2C Choice / food/FMCG when WTP is decision-relevant.
sp_3cb6b43acba3,tally_mYWglz,WTP,price ladder,price ladder: 4. Готовы ли вы тратить время на дорогу до пекарни с лучшим ассортиментом хлебоб,Use for B2C Choice / food/FMCG when WTP is decision-relevant.
sp_062f20c23a61,tally_mYWglz,frequency,behavior baseline,behavior baseline: 5. Как часто вы едите представленные виды хлеба?,Use for B2C Choice / food/FMCG when frequency is decision-relevant.
sp_b8d32e211597,tally_mYWglz,scenario,JTBD map,JTBD map: 6. Когда вы обычно употребляете купленный хлеб следующих видов?,Use for B2C Choice / food/FMCG when scenario is decision-relevant.
sp_e36af2589d2e,tally_mYWglz,factor,factor hierarchy,"factor hierarchy: 8. Оцените от 1 до 5 важность факторов выбора хлеба, где 1 - это незначимый факт",Use for B2C Choice / food/FMCG when factor is decision-relevant.
sp_c8b0c1268353,tally_mYWglz,channel,channel/trust map,channel/trust map: 9. Из каких источников информации вы узнаете про пекарни?,Use for B2C Choice / food/FMCG when channel is decision-relevant.
sp_6bf375d6015c,tally_mYWglz,awareness,brand funnel,brand funnel: 10. Какие пекарни кроме Печорин вы знаете?,Use for B2C Choice / food/FMCG when awareness is decision-relevant.
sp_ccb9fde711e1,tally_mYWglz,behavior,behavior baseline,behavior baseline: 11. Какие пекарни вы посещаете?,Use for B2C Choice / food/FMCG when behavior is decision-relevant.
sp_a2f76c3f8172,tally_mYWglz,channel,channel/trust map,"channel/trust map: 14. Где, по вашему мнению, продается самая свежая выпечка?",Use for B2C Choice / food/FMCG when channel is decision-relevant.
sp_967cb29ced1d,tally_mYWglz,channel,channel/trust map,"channel/trust map: 15. Где, по вашему мнению, самый широкий выбор свежей выпечки?",Use for B2C Choice / food/FMCG when channel is decision-relevant.
sp_69418e977a50,tally_mYWglz,frequency,behavior baseline,behavior baseline: 20. Как часто вы покупаете кофе в указанных сценариях?,Use for B2C Choice / food/FMCG when frequency is decision-relevant.
sp_05b3f2baeee2,tally_mYWglz,scenario,JTBD map,JTBD map: 21. Какой кофе вы выберете при указанных сценариях?,Use for B2C Choice / food/FMCG when scenario is decision-relevant.
sp_de57c6fbf8b0,tally_mYWglz,scenario,JTBD map,JTBD map: 22. В каких сценариях вы покупаете следующую продукцию?,Use for B2C Choice / food/FMCG when scenario is decision-relevant.
sp_a7ece375ac6e,tally_mYWglz,factor,factor hierarchy,factor hierarchy: 24. Важна ли для вас упаковка приобретенной в пекарне продукции?,Use for B2C Choice / food/FMCG when factor is decision-relevant.
sp_46c2fcba3a1d,tally_mYWglz,frequency,behavior baseline,behavior baseline: 26. Как часто вы посещаете кофейни в следующих сценариях?,Use for B2C Choice / food/FMCG when frequency is decision-relevant.
sp_d167708b2d54,tally_mYWglz,awareness,brand funnel,brand funnel: 29. Какие кофейни вы знаете?,Use for B2C Choice / food/FMCG when awareness is decision-relevant.
sp_92008f99b809,tally_mYWglz,awareness,brand funnel,brand funnel: 30. Какие city-кафе вы знаете?,Use for B2C Choice / food/FMCG when awareness is decision-relevant.
sp_2b9e798adf12,tally_mYWglz,factor,factor hierarchy,factor hierarchy: 33. Какие факторы в пекарне Печорин вам нравятся?,Use for B2C Choice / food/FMCG when factor is decision-relevant.
