question_id,survey_id,source_question_order,family,normalized_text,answer_type,base_n,unique_values,recovery_status,reuse_status,adapt_for,caveat
q_9295e3d43fbf,tally_w5k75d,1,other,Номер анкеты,numeric,249,223,verified,adapt,,
q_fdb3cb31334d,tally_w5k75d,2,screening,1) Есть ли у вас электроавтомобиль?,single,249,2,verified,adapt,,
q_b82b542fd2fd,tally_w5k75d,3,open,2) Укажите марку вашего автомобиля?,single,245,14,verified,adapt,,
q_3b8721c66c70,tally_w5k75d,4,other,PRaEWQ,single,11,5,unreliable,source_check,,matrix/UUID needs form schema
q_e02133791642,tally_w5k75d,5,other,3) Почему вы выбрали электроавтомобиль?,multi,245,149,verified,adapt,,
q_015daf837b23,tally_w5k75d,6,other,rDxKbM,single,1,1,unreliable,source_check,,matrix/UUID needs form schema
q_ba0e44e2f3b4,tally_w5k75d,7,factor,4) Какие факторы повлияли на ваш выбор места проживания с учетом наличия электромобиля?,multi,245,63,verified,ready,,
q_aac4ed35274e,tally_w5k75d,8,other,jeOMqR,single,8,3,unreliable,source_check,,matrix/UUID needs form schema
q_c3f009064c9c,tally_w5k75d,9,scenario,5) Есть ли такие ситуации в процессе или перед которыми  вы считаете важными зарядить авто?,multi,245,134,verified,ready,,
q_93dd93417e44,tally_w5k75d,10,other,OQWgyk,unknown,0,0,unreliable,source_check,,matrix/UUID needs form schema
q_4d8f1ae1b564,tally_w5k75d,11,channel,6) Где бы вы хотели чтобы в этот момент находилась зарядка?,multi,245,155,verified,ready,,
q_1ddf1432a3c5,tally_w5k75d,12,other,Ge2azL,single,2,2,unreliable,source_check,,matrix/UUID needs form schema
q_ae8df903d585,tally_w5k75d,13,factor,"7) Оцените факторы выбора зарядных устройств из списка ниже от 1 до 5, где 1 - неважно, 5 - очень важно?",matrix,245,197,reconstructed,source_check,,matrix/UUID needs form schema
q_5bfb54b27faf,tally_w5k75d,14,demographics,8) Какие типы зарядных станций вы используете?,multi,245,64,verified,adapt,,
q_5a3655e475d8,tally_w5k75d,15,other,q52B72,unknown,0,0,unreliable,source_check,,matrix/UUID needs form schema
q_219f9c00cfb0,tally_w5k75d,16,demographics,9) Какую мощность зарядного устройства вы используете дома?,multi,245,32,verified,adapt,,
q_f86e2ebd26e0,tally_w5k75d,17,other,9Nz1PG,single,1,1,unreliable,source_check,,matrix/UUID needs form schema
q_777c46ad25c4,tally_w5k75d,18,demographics,10) Сколько времени обычно занимает полная зарядка вашего автомобиля дома?,single,245,5,verified,adapt,,
q_a910a8180db7,tally_w5k75d,19,demographics,"11) Укажите, как вы оплачиваете использование зарядного устройства?",multi,245,42,verified,adapt,,
q_00221ccbe8f5,tally_w5k75d,20,WTP,12) Как вы оцениваете стоимость электроэнергии для зарядки автомобиля дома?,single,245,3,verified,ready,,
q_7262e094022a,tally_w5k75d,21,other,yXWRPg,multi,44,37,unreliable,source_check,,matrix/UUID needs form schema
q_26a60ecd8461,tally_w5k75d,22,other,X5Kkxg,unknown,0,0,unreliable,source_check,,matrix/UUID needs form schema
q_864e6ba3ddb9,tally_w5k75d,23,other,13) Какие специальные тарифы или программы для зарядки электроавтомобиля предлагают УК проживания?,multi,245,43,verified,adapt,,
q_4adf74bcbc8c,tally_w5k75d,24,other,7X8DOL,open,46,20,unreliable,source_check,,matrix/UUID needs form schema
q_ce73c29cf3b5,tally_w5k75d,25,demographics,14) Укажите ваш пол,single,245,2,verified,adapt,,
q_2b004cb4445e,tally_w5k75d,26,demographics,15) Укажите ваш возраст,single,245,5,verified,adapt,,
q_9f2616d36664,tally_w5k75d,27,demographics,16) Укажите уровень Вашего дохода,single,245,3,verified,adapt,,
q_08766d83bbfd,tally_w5k75d,28,open,"17) Укажите количество автомобилей, которыми вы владеете",numeric,245,4,verified,adapt,,
q_092f782270fa,tally_w5k75d,29,open,"18) Укажите количество электромобилей, которыми вы владеете",numeric,245,3,verified,adapt,,
q_c8ee738864de,tally_w5k75d,30,other,"19) Выберите все пункты, которые характеризуют ваш дом",multi,245,79,verified,adapt,,
q_22954ae88148,tally_w5k75d,31,other,KpqoAM,single,1,1,unreliable,source_check,,matrix/UUID needs form schema
q_fbd1c3a8c1b5,tally_3Ex5xX,1,other,Работали ли Вы в агентстве недвижимости?,single,413,2,verified,adapt,,
q_aa44b543dc7a,tally_3Ex5xX,2,other,Работаете ли Вы в агентстве недвижимости на данный момент?,single,411,2,verified,adapt,,
q_a5f4e0155b97,tally_3Ex5xX,3,other,В какой(-их) компании(-ях) вы работали(-ете)?,open,411,74,verified,adapt,,
q_c05146e64834,tally_3Ex5xX,4,demographics,Каков ваш общий стаж работы в профессии?,single,411,6,verified,adapt,,
q_faf6ecd74614,tally_3Ex5xX,5,demographics,Какие каналы и инструменты вы использовали при поиске работы?,multi,411,40,verified,adapt,,
q_b4b4efe072c2,tally_3Ex5xX,6,channel,Укажите эти каналы,single,2,2,verified,ready,,
q_36d3d6f9f67d,tally_3Ex5xX,7,other,Кто вы по профессии?,single,411,6,verified,adapt,,
q_8cb22025154d,tally_3Ex5xX,8,other,Уровень заработной платы и премий,numeric,190,3,verified,adapt,,
q_b5333ca3f133,tally_3Ex5xX,9,demographics,Уровень доходов и бонусов,numeric,221,3,verified,adapt,,
q_e390bc1bb9ad,tally_3Ex5xX,10,other,Белая заработная плата и социальный пакет,numeric,411,4,verified,adapt,,
q_7d57e72819ed,tally_3Ex5xX,11,other,Своевременность выплаты заработной платы,numeric,411,4,verified,adapt,,
q_3aa081f68ae2,tally_3Ex5xX,12,demographics,Возможность влиять на свой доход,numeric,368,4,verified,adapt,,
q_a1240de9413c,tally_3Ex5xX,13,other,Возможность преодоления новых вызовов,numeric,43,3,verified,adapt,,
q_2d426d9207c0,tally_3Ex5xX,14,other,Работа с масштабными проектами,numeric,190,4,verified,adapt,,
q_32b922c55b2f,tally_3Ex5xX,15,other,Возможность предлагать и внедрять инновационные идеи/проекты,numeric,147,4,verified,adapt,,
q_0c1286f549fe,tally_3Ex5xX,16,other,Возможность расти как управленец (вертикальный рост),numeric,411,5,verified,adapt,,
q_dc69974e0814,tally_3Ex5xX,17,other,Возможность развиваться как профессионал и эксперт (горизонтальный рост),numeric,411,5,verified,adapt,,
q_6c51980c91be,tally_3Ex5xX,18,other,Команда единомышленников,numeric,411,5,verified,adapt,,
q_f3c79d7b97c8,tally_3Ex5xX,19,other,Дружелюбная атмосфера в компании,numeric,411,4,verified,adapt,,
q_3f398ac5bf3a,tally_3Ex5xX,20,other,Работа с сильным руководителем/лидером,numeric,368,4,verified,adapt,,
q_e3ce4db651c0,tally_3Ex5xX,21,other,Офис с современными условиями работы,numeric,411,4,verified,adapt,,
q_53712165e075,tally_3Ex5xX,22,other,Скорость принятия решений/реализации проектов,numeric,411,4,verified,adapt,,
q_4aa1b5ba37fa,tally_3Ex5xX,23,other,"Реализация проектов, которые меняют отрасль",numeric,43,4,verified,adapt,,
q_b5e156411ad3,tally_3Ex5xX,24,other,Наличие значимого опыта и экспертности на рынке недвижимости,numeric,190,5,verified,adapt,,
q_57137b297898,tally_3Ex5xX,25,other,Творческий подход к задачам без избыточной регламентации,numeric,190,5,verified,adapt,,
q_95249d45b03e,tally_3Ex5xX,26,other,Систематизированные и описанные бизнес-процессы и алгоритмы действий,numeric,411,5,verified,adapt,,
q_823c0376d348,tally_3Ex5xX,27,other,Возможность гибкого графика и удалённой работы,numeric,411,4,verified,adapt,,
q_621240a46c8a,tally_3Ex5xX,28,other,Возможность работы с уникальным софтом,numeric,411,4,verified,adapt,,
q_36ec5fe69d23,tally_3Ex5xX,29,other,"Возможность работать с экспертами, которые известны на рынке",numeric,411,5,verified,adapt,,
q_67d1bb03b75f,tally_3Ex5xX,30,other,Известность бренда компании на рынке недвижимости,numeric,411,5,verified,adapt,,
